id,date,city,lat,long,pop,shop,brand,container,capacity,price,quantity
540,31/07/12,Athens,37.97945,23.71622,672130,shop_1,kinder-cola,glass,500ml,1.16,21950
541,31/07/12,Athens,37.97945,23.71622,672130,shop_1,kinder-cola,plastic,1.5lt,2.36,19372
542,31/07/12,Athens,37.97945,23.71622,672130,shop_1,kinder-cola,can,330ml,0.54,35754
543,31/07/12,Athens,37.97945,23.71622,672130,shop_1,adult-cola,plastic,1.5lt,2.82,18828
544,31/07/12,Athens,37.97945,23.71622,672130,shop_1,adult-cola,can,330ml,0.69,38842
545,31/07/12,Athens,37.97945,23.71622,672130,shop_1,orange-power,glass,500ml,0.8,45133
546,31/07/12,Athens,37.97945,23.71622,672130,shop_1,orange-power,can,330ml,0.41,66930
547,31/07/12,Athens,37.97945,23.71622,672130,shop_1,gazoza,glass,500ml,0.43,91220
548,31/07/12,Athens,37.97945,23.71622,672130,shop_1,gazoza,plastic,1.5lt,0.22,85465
549,31/07/12,Athens,37.97945,23.71622,672130,shop_1,gazoza,can,330ml,0.22,86420
550,31/07/12,Athens,37.97945,23.71622,672130,shop_1,lemon-boost,glass,500ml,0.87,37102
551,31/07/12,Athens,37.97945,23.71622,672130,shop_1,lemon-boost,plastic,1.5lt,2.69,13063
552,31/07/12,Athens,37.97945,23.71622,672130,shop_1,lemon-boost,can,330ml,0.65,24706
553,31/07/12,Irakleion,35.32787,25.14341,134219,shop_2,kinder-cola,plastic,1.5lt,3.17,17780
554,31/07/12,Irakleion,35.32787,25.14341,134219,shop_2,kinder-cola,can,330ml,0.79,25689
555,31/07/12,Irakleion,35.32787,25.14341,134219,shop_2,adult-cola,glass,500ml,1.06,39938
556,31/07/12,Irakleion,35.32787,25.14341,134219,shop_2,adult-cola,plastic,1.5lt,2.57,24060
557,31/07/12,Irakleion,35.32787,25.14341,134219,shop_2,adult-cola,can,330ml,0.68,43018
558,31/07/12,Irakleion,35.32787,25.14341,134219,shop_2,orange-power,glass,500ml,0.87,55919
559,31/07/12,Irakleion,,,134219,shop_2,orange-power,plastic,1.5lt,1.92,29726
560,31/07/12,Irakleion,35.32787,25.14341,134219,shop_2,orange-power,can,330ml,0.54,46344
561,31/07/12,Irakleion,35.32787,25.14341,134219,shop_2,gazoza,glass,500ml,0.59,69696
562,31/07/12,Irakleion,35.32787,25.14341,134219,shop_2,gazoza,plastic,1.5lt,0.67,71805
563,31/07/12,Irakleion,35.32787,25.14341,134219,shop_2,gazoza,can,330ml,0.22,145287
564,31/07/12,Irakleion,35.32787,25.14341,134219,shop_2,lemon-boost,glass,500ml,0.91,40870
565,31/07/12,Irakleion,35.32787,25.14341,134219,shop_2,lemon-boost,plastic,1.5lt,2.09,23622
566,31/07/12,Patra,38.24444,21.73444,164250,shop_6,kinder-cola,glass,500ml,1.35,30386
567,31/07/12,Patra,38.24444,21.73444,164250,shop_6,kinder-cola,plastic,1.5lt,2.12,33050
568,31/07/12,Patra,38.24444,21.73444,164250,shop_6,adult-cola,glass,500ml,1.13,51810
569,31/07/12,Patra,38.24444,21.73444,164250,shop_6,adult-cola,plastic,1.5lt,2.78,33582
570,31/07/12,Patra,38.24444,21.73444,164250,shop_6,adult-cola,can,330ml,0.79,44463
571,31/07/12,Patra,38.24444,21.73444,164250,shop_6,orange-power,glass,500ml,0.74,84040
572,31/07/12,Patra,38.24444,21.73444,164250,shop_6,orange-power,plastic,1.5lt,1.48,67983
573,31/07/12,Patra,38.24444,21.73444,164250,shop_6,orange-power,can,330ml,0.49,78816
574,31/07/12,Patra,38.24444,21.73444,164250,shop_6,gazoza,glass,500ml,0.52,118467
575,31/07/12,Patra,38.24444,21.73444,164250,shop_6,gazoza,plastic,1.5lt,0.86,82174
576,31/07/12,Patra,38.24444,21.73444,164250,shop_6,lemon-boost,glass,500ml,0.91,48616
577,31/07/12,Patra,38.24444,21.73444,164250,shop_6,lemon-boost,,1.5lt,2.16,33800
578,31/07/12,Patra,38.24444,21.73444,164250,shop_6,lemon-boost,can,330ml,0.53,58459
579,31/07/12,Thessaloniki,40.64361,22.93086,346502,shop_4,kinder-cola,glass,500ml,1.27,25177
580,31/07/12,Thessaloniki,40.64361,22.93086,346502,shop_4,kinder-cola,plastic,1.5lt,3.43,16395
581,31/07/12,Thessaloniki,40.64361,22.93086,346502,shop_4,kinder-cola,can,330ml,0.74,28099
582,31/07/12,Thessaloniki,40.64361,22.93086,346502,shop_4,adult-cola,glass,500ml,1.11,38230
583,31/07/12,Thessaloniki,40.64361,22.93086,346502,shop_4,adult-cola,plastic,1.5lt,2.57,30092
584,31/07/12,Thessaloniki,40.64361,22.93086,346502,shop_4,adult-cola,can,330ml,0.76,37698
585,31/07/12,Thessaloniki,40.64361,22.93086,346502,shop_4,orange-power,glass,500ml,0.7,64685
586,31/07/12,Thessaloniki,40.64361,22.93086,346502,shop_4,orange-power,plastic,1.5lt,1.61,45682
587,31/07/12,Thessaloniki,40.64361,22.93086,346502,shop_4,orange-power,can,330ml,0.6,39339
588,31/07/12,Thessaloniki,40.64361,22.93086,346502,shop_4,gazoza,glass,500ml,0.52,90780
589,31/07/12,Thessaloniki,40.64361,22.93086,346502,shop_4,gazoza,plastic,1.5lt,0.47,99637
590,31/07/12,Thessaloniki,40.64361,22.93086,346502,shop_4,gazoza,can,330ml,0.29,92431
591,31/07/12,Thessaloniki,40.64361,22.93086,346502,shop_4,lemon-boost,glass,500ml,0.72,52300
592,31/07/12,Thessaloniki,40.64361,22.93086,346502,shop_4,lemon-boost,plastic,1.5lt,2.34,24322
593,31/07/12,Thessaloniki,40.64361,22.93086,346502,shop_4,lemon-boost,can,330ml,0.49,51993
594,31/07/12,Athens,37.96245,23.68708,672130,shop_3,kinder-cola,plastic,1.5lt,3.4,9206
595,31/07/12,Athens,37.96245,23.68708,672130,shop_3,adult-cola,glass,500ml,1.26,19378
596,31/07/12,Athens,37.96245,23.68708,672130,shop_3,adult-cola,plastic,1.5lt,1.56,21879
597,31/07/12,Athens,37.96245,23.68708,672130,shop_3,orange-power,glass,500ml,0.75,49825
598,31/07/12,Athens,37.96245,23.68708,672130,shop_3,orange-power,can,330ml,0.56,36715
599,31/07/12,Athens,37.96245,23.68708,672130,shop_3,gazoza,glass,500ml,0.5,65396
600,31/07/12,Athens,37.96245,23.68708,672130,shop_3,gazoza,plastic,1.5lt,0.73,41012
601,31/07/12,Athens,37.96245,23.68708,672130,shop_3,gazoza,can,330ml,0.29,59667
602,31/07/12,Athens,37.96245,23.68708,672130,shop_3,lemon-boost,glass,500ml,0.91,24917
603,31/07/12,Athens,37.96245,23.68708,672130,shop_3,lemon-boost,plastic,1.5lt,2.03,14983
604,31/07/12,Athens,37.96245,23.68708,672130,shop_3,lemon-boost,can,330ml,0.5,35390
605,31/07/12,Larisa,39.63689,22.41761,137540,shop_5,kinder-cola,glass,500ml,1.22,18264
